Yearday  wnde(m/s)  wndn  swr  lwr  precip(mm)  starting Dec 8, 2014
350.583  -1.25  -5.72    0.4  381.8   2.74 
350.624  -2.01  -5.57    0.4  382.3   2.74 
350.666  -2.03  -5.04    0.4  378.1   2.74 
350.708  -2.14  -4.80    0.2  375.9   2.74 
350.749  -1.98  -4.87    0.2  376.5   2.74 
350.833  -1.75  -5.07    0.3  380.0   2.73 
350.874  -1.90  -5.27    0.3  377.0   2.73 
350.999  -2.61  -5.68    0.4  371.1   2.73 
351.041  -3.06  -5.41   17.5  367.7   2.73 
351.083  -2.78  -5.48  153.1  367.9   2.72 
351.124  -2.70  -5.88  343.0  368.5   2.69 
351.208  -2.49  -5.99  659.7  374.9   2.65 
351.249  -1.73  -6.46  686.4  381.2   2.64 
351.291  -1.73  -6.72  696.6  382.7   2.64 
351.333  -1.92  -7.29  608.1  386.1   2.64 
351.416  -2.47  -6.87  320.7  379.2   2.63 
351.458  -2.77  -6.25  140.0  370.8   2.63 
351.499  -2.62  -6.09   13.2  369.4   2.64 
351.583  -2.28  -6.22    0.6  378.4   2.66 
351.624  -1.91  -5.98    0.6  377.6   2.66 
351.666  -2.22  -5.59    0.6  379.0   2.66 
351.708  -2.45  -5.45    0.6  378.8   2.66 
351.791  -2.83  -5.47    0.3  365.8   2.65 
351.833  -2.75  -5.47    0.3  366.2   2.65 
351.874  -2.51  -5.74    0.4  368.5   2.64 
351.916  -2.24  -6.49    0.5  369.7   2.64 
351.958  -2.10  -7.10    0.6  374.0   2.63 
351.999  -1.81  -7.53    0.8  375.6   2.63 
352.041  -2.13  -7.23   11.9  377.8   2.63 
352.083  -2.19  -7.16  120.3  379.2   2.62 
352.166  -2.01  -7.70  549.4  364.4   2.57 
352.208  -2.30  -7.75  692.0  364.6   2.55 
352.249  -1.56  -7.58  787.4  363.5   2.54 
352.333  -1.57  -7.78  705.3  365.2   2.52 
352.374  -1.69  -7.56  579.9  362.6   2.51 
352.416  -1.95  -7.66  392.8  360.8   2.51 
352.458  -2.02  -7.52  169.7  358.9   2.51 
352.499  -2.02  -7.51   14.7  356.2   2.53 
352.541  -2.48  -6.96    0.3  353.6   2.52 
352.583  -3.03  -6.40    0.2  350.9   2.52 
352.624  -3.22  -6.36    0.2  349.4   2.52 
352.666  -2.73  -5.74    0.1  347.5   2.52 
352.708  -2.67  -5.72    0.0  343.0   2.52 
352.874  -1.99  -5.97    0.0  338.0   2.49 
352.958  -3.07  -5.58   -0.1  336.7   2.48 
352.999  -3.16  -4.56   -0.2  338.6   2.48 
353.041  -2.81  -4.65   16.5  341.7   2.47 
353.083  -3.24  -4.52  170.3  343.3   2.46 
353.124  -3.72  -4.17  385.8  344.5   2.43 
353.166  -3.27  -4.16  570.8  347.8   2.41 
353.208  -3.29  -3.69  703.2  353.7   2.39 
353.291  -2.79  -4.33  795.6  357.3   2.36 
353.333  -2.66  -4.59  717.6  363.5   2.35 
353.416  -1.90  -5.03  378.1  360.2   2.33 
353.458  -1.71  -4.78  159.2  356.8   2.34 
353.541  -1.91  -4.20    0.0  359.2   2.37 
353.583  -2.53  -4.17    0.3  371.2   2.37 
353.624  -3.12  -3.56    0.0  361.2   2.37 
